,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,RockWriter2,"PoliticalJournalism&humor,focused on FREEDOM,that ends up finding crimes.Also @EmilioPradilla,@BloodymirPutin & Fb's Jim Morrison II & Emilio Pradilla Fonrodona",,2690,544,8338,0,"#ElonMusk(@elonmusk)&amp; #OlafScholz(@OlafScholz)R #promises in a #PlanetEarth #BADLYinNeed of #sensitive #powerful #men,#women &amp; #children...I love #electricCars,#rockets R like #EnzoFerrari's #raceCars,a display of #tech,but #moon &amp; #mars pure #bs.

(#HitlersFightingKnife forSale) https://t.co/5G8W0methk","['ElonMusk', 'OlafScholz', 'promises', 'PlanetEarth', 'BADLYinNeed', 'sensitive', 'powerful', 'men', 'women', 'children', 'electricCars', 'rockets', 'EnzoFerrari', 'raceCars', 'tech', 'moon', 'mars', 'bs', 'HitlersFightingKnife']"
1,RevolutionsCen,,,4452,3534,207803,0,#power100 #powerful Wont reading #deep thoughts on 150 subj give u more #power than 1-2 subj in E Britannica or Wiki https://t.co/yjUYyvuMn3,"['power100', 'powerful', 'deep', 'power']"
2,emckoy,"Award-winning☆ Educator + Speaker + Author + Coach! “Education is HARD work, but it is HEART work.” Now booking for speaking engagements! Learn more on website.",USA,2333,596,2203,0,"🚨 NEW BOOK RELEASE 🚨

Get Ready! Get Ready! Get Ready!

“Empowered to Win"" is being released on January 27, 2022.

 #Powerful stories from 15 Amazing Women.

#6XsAmazonBestsellingAuthor #dressiespeaks #podcasthost #podcast #education #Amazonbestsellingbooks https://t.co/Vq43a9phZx","['Powerful', '6XsAmazonBestsellingAuthor', 'dressiespeaks', 'podcasthost', 'podcast', 'education', 'Amazonbestsellingbooks']"
3,LordSnickers87,,,818,296,3240,0,We need more #smart girls and #powerful #women in the space. But not this BS. https://t.co/L0kS7upzla,"['smart', 'powerful', 'women']"
4,s4msecurity,"Sometimes I work with a bot, sometimes I work manually.
I am sharing about issues in the field of cyber security.
#Software #dataprivacy #cybersecurity #bot",,344,6397,28025,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
5,WomensPowerCen,Via UTube https://t.co/FLl7KHSUKO book https://t.co/H3cE6jfcFH FB https://t.co/uAdFJsB2uu G+https://t.co/s6ZMJmP2fj & blog we aid women Follow & get 3Dicon inDM,,4831,2961,186689,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
6,youforreal211,,,70,12,73,2,"It's over. The co-conspirators are #powerful caucasian #men and #women who will never be brought to #justice. 
#GhislaineMaxwell
#GhislaineMaxwellTrial
#JefferyEpstein https://t.co/HkXyPhVZH7","['powerful', 'men', 'women', 'justice']"
7,antonio_hickman,,,3436,1519,172187,2,"It's over. The co-conspirators are #powerful caucasian #men and #women who will never be brought to #justice. 
#GhislaineMaxwell
#GhislaineMaxwellTrial
#JefferyEpstein https://t.co/HkXyPhVZH7","['powerful', 'men', 'women', 'justice']"
8,MrNegroMilitant,"We Are Anonymous. ✊🏾
We Are Legion. 🔁
We Do Not Forgive. ☯️
We Do Not Forget. 🕉
Expect Us. ⚔
#RBKA 🦿

#Anonymous4life ⚖",Sicily. Not Italy. SICILY!!,142611,105181,290173,2,"It's over. The co-conspirators are #powerful caucasian #men and #women who will never be brought to #justice. 
#GhislaineMaxwell
#GhislaineMaxwellTrial
#JefferyEpstein https://t.co/HkXyPhVZH7","['powerful', 'men', 'women', 'justice', 'GhislaineMaxwell', 'GhislaineMaxwellTrial', 'JefferyEpstein']"
9,DivineEssence8,Life Mastery begins with Self Mastery.,"California, USA",477,84,821,0,"If you want to be successful, you must respect 1 rule....never lie to yourself. -Paulo Coelho

#respect #honesty #integrity #success #successful #entrepreneur #boss #ceo #business #cosmopolitan #women #woman #power #powerful #truth https://t.co/nzbmsNTkFc","['respect', 'honesty', 'integrity', 'success', 'successful', 'entrepreneur', 'boss', 'ceo', 'business', 'cosmopolitan', 'women', 'woman', 'power', 'powerful', 'truth']"
10,s4msecurity,"Sometimes I work with a bot, sometimes I work manually.
I am sharing about issues in the field of cyber security.
#Software #dataprivacy #cybersecurity #bot",,344,6397,28025,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/kqmU3IzqLS https://t.co/bU5mbkzK39,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
11,WomensPowerBook,Inspired by JohnGreen's #book topping NewYork #chart we air history's FIRST PastPresentFuture gluing one #author BOOK & await critique Follow- Get 3D icon in DM,UK,18847,28422,297745,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/kqmU3IzqLS https://t.co/bU5mbkzK39,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
12,mirrorreflecti9,"Content creation.
#MirrorReflection Stories. 
#MirrorTalk Diary. Topical issues

BOLD. BRAVE. STRAIGHT.
#Inspire. #Engage. #Educate. #Entertain the #Generations",Nairobi Kenya,305,131,803,0,"https://t.co/jGyF9OU8gU

We Dedicate this video to @JerotichSeii Birthday. Reminding everyone that the likes of Jerotich and all #powerful Women. We celebrate you........",['powerful']
13,RevolutionsCen,,,4452,3534,207803,0,#power100 #powerful Wont reading #deep thoughts on 150 subj give u more #power than 1-2 subj in E Britannica or Wiki https://t.co/yjUYyvuMn3,"['power100', 'powerful', 'deep', 'power']"
14,WomensPowerBook,Inspired by JohnGreen's #book topping NewYork #chart we air history's FIRST PastPresentFuture gluing one #author BOOK & await critique Follow- Get 3D icon in DM,UK,18847,28422,297745,0,#power100 #powerful Wont reading #deep thoughts on 150 subj give u more #power than 1-2 subj in E Britannica or Wiki https://t.co/EutWmBJms8,"['power100', 'powerful', 'deep', 'power']"
15,s4msecurity,"Sometimes I work with a bot, sometimes I work manually.
I am sharing about issues in the field of cyber security.
#Software #dataprivacy #cybersecurity #bot",,344,6397,28025,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
16,yolabastos,Assisting ladies in unclogging their thoughts and achieving life success. I am a passionate supporter of women's success.,London,403,222,14214,0,"Women Flix Ltd has now 1,001 female connections on LinkedIn!!! Thank you so much to everyone whom #supportsmallbusiness and #participates in the #mission, including our beautiful and #powerful  #employees!  

#newproject #linkedin #connections 
Feeling t…https://t.co/K34L6drOWw","['supportsmallbusiness', 'participates', 'mission', 'powerful', 'employees', 'newproject', 'linkedin', 'connections']"
17,WomensPowerCen,Via UTube https://t.co/FLl7KHSUKO book https://t.co/H3cE6jfcFH FB https://t.co/uAdFJsB2uu G+https://t.co/s6ZMJmP2fj & blog we aid women Follow & get 3Dicon inDM,,4831,2961,186689,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
18,WomenCyberSec,"This is the community for #women and girls in #CyberSecurity, to meet, support each other, and share common projects and brilliant #ideas! 😉",,103,4356,36747,2,"Stephanie Broyles #CMO of @FidelisCyber
#Powerful #WomenLeaders of #2021
#IERAWomenLeaders #Virginia #GreatFalls #Cybersecurity #Growth #AltoNetworks #Broadcom #Siemens #development #strategic #sophisticated #revenue #Alliance #SocialMedia 
https://t.co/XlKdZZd5sn","['CMO', 'Powerful', 'WomenLeaders', 'IERAWomenLeaders', 'Virginia', 'GreatFalls']"
19,IeraWomen,"https://t.co/ZUbQaBWFVk
Industry Era for Women is a digital magazine featuring CEOs, C-Suite Executives and other pioneers in the Industry.",,136,57,239,2,"Stephanie Broyles #CMO of @FidelisCyber
#Powerful #WomenLeaders of #2021
#IERAWomenLeaders #Virginia #GreatFalls #Cybersecurity #Growth #AltoNetworks #Broadcom #Siemens #development #strategic #sophisticated #revenue #Alliance #SocialMedia 
https://t.co/XlKdZZd5sn","['CMO', 'Powerful', 'WomenLeaders', 'IERAWomenLeaders', 'Virginia', 'GreatFalls', 'Cybersecurity', 'Growth', 'AltoNetworks', 'Broadcom', 'Siemens', 'development', 'strategic', 'sophisticated', 'revenue', 'Alliance', 'SocialMedia']"
20,POWERONHEELSF,"POWER On Heels Fund, Inc. - 501(c)(3) non-profit organization focused on the advancement of Latinas in the marketplace.","Houston, TX",22,45,270,0,"What is your #favorite women-owned business?👜 

Who do you #support? Who has #surpassed your #expectations?✨🎉

Tag them in the comments 👇🏼 

#Powerful #POHF #WomenOwnedBusiness #LatinaOwnedBusiness https://t.co/WqprNmKe2L","['favorite', 'support', 'surpassed', 'expectations', 'Powerful', 'POHF', 'WomenOwnedBusiness', 'LatinaOwnedBusiness']"
21,RevolutionsCen,,,4452,3534,207803,0,#power100 #powerful Wont reading #deep thoughts on 150 subj give u more #power than 1-2 subj in E Britannica or Wiki https://t.co/yjUYyvuMn3,"['power100', 'powerful', 'deep', 'power']"
22,ShaunVideo,"Hi, My Name Shaun Johnson, I'm 32. so I'm Celebrity/Celebrate is new, because, I love you all my fans forever. I'm perfect men and I love it!","Pontiac, MI",142,128,116,0,"My mother is always family home, she beautiful face and everything, she powerful women, like celebrity/celebrate, she wonderful of world love! #MOTHER #family #home #Beautiful #powerful #women #celebrity #celebrate #world #love https://t.co/AQrQkUo0Fn","['MOTHER', 'family', 'home', 'Beautiful', 'powerful', 'women', 'celebrity', 'celebrate', 'world', 'love']"
23,sg4mylife,CONFIDENCE AND EXECUTIVE COACH,Canada,300,179,1037,0,"A gentle reminder to yourself!  

#coach #confidence #sgmylife #you #beautiful #women #powerful #life #proud #bold #strong #reminder #gentle #trust #mindset #believe #strong https://t.co/n1pxpTD9z7","['coach', 'confidence', 'sgmylife', 'you', 'beautiful', 'women', 'powerful', 'life', 'proud', 'bold', 'strong', 'reminder', 'gentle', 'trust', 'mindset', 'believe', 'strong']"
24,HausOfHypnos,"Showcasing powerful women and their art, with the intent to empower others.","Edmonton, Alberta",62,6,2,0,"This shot by Laura Bee Photography perfectly captures powerful @HausOfHypnos energy! 🖤🖤 Women supporting other women, and being bad ass af doing it! 👯‍♀️🌪#HausofHypnos #HoH #LBP #powerful #forces #femaleartists #recognition #pictorial #preview https://t.co/hYI57SRMXC","['HausofHypnos', 'HoH', 'LBP', 'powerful', 'forces', 'femaleartists', 'recognition', 'pictorial', 'preview']"
25,LovabilityInc,✨ Sexual Wellness Products For Your Power and Pleasure! 👊✨,"Los Angeles, CA",1006,2092,9653,0,"We feel this SO hard 😅🩸⁠
⁠
🐦 @tiptoefantastic
⁠
#lovability #babewiththepower #feminism #feminist #babes #women #tweet #funnytweet #period #periods #menstruating #intersectional #powerful #change #equality #menstruation #periodcare #sexualhealth #health https://t.co/ahIbClKpws","['lovability', 'babewiththepower', 'feminism', 'feminist', 'babes', 'women', 'tweet', 'funnytweet', 'period', 'periods', 'menstruating', 'intersectional', 'powerful', 'change', 'equality', 'menstruation', 'periodcare', 'sexualhealth', 'health']"
26,WomensPowerCen,Via UTube https://t.co/FLl7KHSUKO book https://t.co/H3cE6jfcFH FB https://t.co/uAdFJsB2uu G+https://t.co/s6ZMJmP2fj & blog we aid women Follow & get 3Dicon inDM,,4831,2961,186689,0,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
27,s4msecurity,"Sometimes I work with a bot, sometimes I work manually.
I am sharing about issues in the field of cyber security.
#Software #dataprivacy #cybersecurity #bot",,344,6397,28025,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/kqmU3IzqLS https://t.co/bU5mbkzK39,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
28,WomensPowerBook,Inspired by JohnGreen's #book topping NewYork #chart we air history's FIRST PastPresentFuture gluing one #author BOOK & await critique Follow- Get 3D icon in DM,UK,18847,28422,297745,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/kqmU3IzqLS https://t.co/bU5mbkzK39,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
29,AllisonDaniels9,"CEO of Allison Daniels Ministries, LLC| Award-Winning | 4X Bestselling Author of 31 |GuestABC7News| Publisher |Minister|StrayerGrad |https://t.co/xKGBhmnoWv",Maryland,3705,1650,16844,0,"(4) My 3rd Anthology “Empowered to Win"" is being released on January 27, 2022.  I’m excited and overjoyed for you to read the #Powerful stories from 15 Amazing Women.
To God be ALL the Glory as they each share their story!!!

NEW BOOK COMING SOON
#EmpoweredtoWin, 3rd Edition https://t.co/bCjKn4GgR1","['Powerful', 'EmpoweredtoWin']"
30,AllisonDaniels9,"CEO of Allison Daniels Ministries, LLC| Award-Winning | 4X Bestselling Author of 31 |GuestABC7News| Publisher |Minister|StrayerGrad |https://t.co/xKGBhmnoWv",Maryland,3705,1650,16844,0,"(3) My 3rd Anthology “Empowered to Win"" is being released on January 27, 2022.  I’m excited and overjoyed for you to read the #Powerful stories from 15 Amazing Women.
To God be ALL the Glory as they each share their story!!!

NEW BOOK COMING SOON
#EmpoweredtoWin, 3rd Edition https://t.co/3G6p7iVWFy","['Powerful', 'EmpoweredtoWin']"
31,AllisonDaniels9,"CEO of Allison Daniels Ministries, LLC| Award-Winning | 4X Bestselling Author of 31 |GuestABC7News| Publisher |Minister|StrayerGrad |https://t.co/xKGBhmnoWv",Maryland,3705,1650,16844,0,"(2) My 3rd Anthology “Empowered to Win"" is being released on January 27, 2022.  I’m excited and overjoyed for you to read the #Powerful stories from 15 Amazing Women.
To God be ALL the Glory as they each share their story!!!

NEW BOOK COMING SOON
#EmpoweredtoWin, 3rd Edition https://t.co/uxIQECMP3R","['Powerful', 'EmpoweredtoWin']"
32,AllisonDaniels9,"CEO of Allison Daniels Ministries, LLC| Award-Winning | 4X Bestselling Author of 31 |GuestABC7News| Publisher |Minister|StrayerGrad |https://t.co/xKGBhmnoWv",Maryland,3705,1650,16844,0,"(1) My 3rd Anthology “Empowered to Win"" is being released on January 27, 2022.  I’m excited and overjoyed for you to read the #Powerful stories from 15 Amazing Women.
To God be ALL the Glory as they each share their story!!!

NEW BOOK COMING SOON
#EmpoweredtoWin, 3rd Edition https://t.co/FXQqcoSW05","['Powerful', 'EmpoweredtoWin']"
33,WomensPowerBook,Inspired by JohnGreen's #book topping NewYork #chart we air history's FIRST PastPresentFuture gluing one #author BOOK & await critique Follow- Get 3D icon in DM,UK,18847,28422,297745,0,#power100 #powerful Wont reading #deep thoughts on 150 subj give u more #power than 1-2 subj in E Britannica or Wiki https://t.co/EutWmBJms8,"['power100', 'powerful', 'deep', 'power']"
34,RevolutionsCen,,,4452,3534,207803,0,#power100 #powerful Wont reading #deep thoughts on 150 subj give u more #power than 1-2 subj in E Britannica or Wiki https://t.co/yjUYyvuMn3,"['power100', 'powerful', 'deep', 'power']"
35,s4msecurity,"Sometimes I work with a bot, sometimes I work manually.
I am sharing about issues in the field of cyber security.
#Software #dataprivacy #cybersecurity #bot",,344,6397,28025,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
36,WomensPowerCen,Via UTube https://t.co/FLl7KHSUKO book https://t.co/H3cE6jfcFH FB https://t.co/uAdFJsB2uu G+https://t.co/s6ZMJmP2fj & blog we aid women Follow & get 3Dicon inDM,,4831,2961,186689,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
37,kdominion_,2 Corinthians 1:20 ❤️,A city near you.....,97,298,25873,0,"Women’s intuition ain’t no joke and it don’t even have to be about a relationship or your man! It’s so deep, it’s just the feeling of knowing when something is not right. #Powerful",['Powerful']
38,RevolutionsCen,,,4452,3534,207803,0,#power100 #powerful Wont reading #deep thoughts on 150 subj give u more #power than 1-2 subj in E Britannica or Wiki https://t.co/yjUYyvuMn3,"['power100', 'powerful', 'deep', 'power']"
39,KatWin2001,"Dedicated stage manager in a repertoire theater. Sci-Fi lover, Opera enthusiast. Lover of Music, Wine, the Arts and Tattoos.","Germany, Saalfeld",174,52,560,0,#women #powerful #joy #christmas @JoyceDiDonato perfect company https://t.co/ImBl4xO6oP,"['women', 'powerful', 'joy', 'christmas']"
40,s4msecurity,"Sometimes I work with a bot, sometimes I work manually.
I am sharing about issues in the field of cyber security.
#Software #dataprivacy #cybersecurity #bot",,344,6397,28025,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/kqmU3IzYBq https://t.co/bU5mbkzK39,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
41,WomensPowerBook,Inspired by JohnGreen's #book topping NewYork #chart we air history's FIRST PastPresentFuture gluing one #author BOOK & await critique Follow- Get 3D icon in DM,UK,18847,28422,297745,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/kqmU3IzYBq https://t.co/bU5mbkzK39,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
42,SeniorOnABudget,"I Casually #Tweet My Thoughts About #Politics, #Religion, #Medical, #Veterinary, #Military, And #Commerce, Amongst Other Random Everyday #Topics.",At My Notebook,25,22,7141,0,"#MelaniaTrump seemed to be in the media, very front and center, consistently throughout #Trump's presidency, and she had a #Voice. 🌐 Very little is even known about #JillBiden, or #KamalaHarris, and they're supposedly 2 of the most #Powerful (#Powerless?) #Women in the world. 🌎","['MelaniaTrump', 'Trump', 'Voice', 'JillBiden', 'KamalaHarris', 'Powerful', 'Powerless', 'Women']"
43,WomensPowerCen,Via UTube https://t.co/FLl7KHSUKO book https://t.co/H3cE6jfcFH FB https://t.co/uAdFJsB2uu G+https://t.co/s6ZMJmP2fj & blog we aid women Follow & get 3Dicon inDM,,4831,2961,186689,0,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
